address,sale_price,building_size,price_per_sf,closing_date,year_built,cap_rate,buyer,seller,raw_address_data,source_type,source_file
11325 Spell Rd," $ 4,653,750.00 ",2.4, $ 170.00 ,7/14/2024,2024,, Perspectibe Therapeutics , Perspectibe Therapeutics ,"11325 Spell Rd 77375 Tomball TX   27,375   Shell  2.4",SALE,Aldine Westfield  Rankin - Comp Set - TM 10.9.xlsx - Tilt Wall Sale Comps.csv
9229 Beeman Way," $ 8,574,384.00 ",3.43, $ 151.00 ,3/19/2025,2025,, MS Global , MS Global ,"9229 Beeman Way 77040 Houston TX   56,784    2,000  3.43",SALE,Aldine Westfield  Rankin - Comp Set - TM 10.9.xlsx - Tilt Wall Sale Comps.csv
17540 Eastex Fwy," $ 5,809,440.00 ",2.13, $ 133.00 ,9/6/2024,2024,," Polyhose, Inc "," Polyhose, Inc ","17540 Eastex Fwy 77396 Humble TX   43,680   Shell  2.13",SALE,Aldine Westfield  Rankin - Comp Set - TM 10.9.xlsx - Tilt Wall Sale Comps.csv
17620 Eastex Fwy," $ 5,202,600.00 ",2.25, $ 138.00 ,6/7/2024,2024,, Tangerine Property Trust , Tangerine Property Trust ,"17620 Eastex Fwy 77396 Humble TX   37,700    1,500  2.25",SALE,Aldine Westfield  Rankin - Comp Set - TM 10.9.xlsx - Tilt Wall Sale Comps.csv
17213 Aldine Westfield Rd," $ 7,349,222.40 ",2.39, $ 138.56 ,7/1/2025,2025,,,,"17213 Aldine Westfield Rd 77073 Houston TX   53,040   Shell  2.39",SALE,Aldine Westfield  Rankin - Comp Set - TM 10.9.xlsx - Tilt Wall Sale Comps.csv
17205 Aldine Westfield Rd," $ 9,443,988.00 ",3.3, $ 138.07 ,7/1/2025,2025,,,,"17205 Aldine Westfield Rd 77073 Houston TX   68,400   Shell  3.3",SALE,Aldine Westfield  Rankin - Comp Set - TM 10.9.xlsx - Tilt Wall Sale Comps.csv
"1401 N Sam Houston Pkwy W, Bldg 1"," $ 5,069,500.00 ",2.5, $ 162.48 ,9/4/2024,2024,, FortPro , FortPro ,"1401 N Sam Houston Pkwy W, Bldg 1 77038 Houston TX   31,200    2,500  2.5",SALE,Aldine Westfield  Rankin - Comp Set - TM 10.9.xlsx - Tilt Wall Sale Comps.csv
"1417 N Sam Houston Pkwy W, Bldg 2"," $ 5,484,830.00 ",2.57, $ 155.00 ,8/1/2024,2024,,GearKing Chenta USA,GearKing Chenta USA,"1417 N Sam Houston Pkwy W, Bldg 2 77038 Houston TX   35,386   Shell  2.57",SALE,Aldine Westfield  Rankin - Comp Set - TM 10.9.xlsx - Tilt Wall Sale Comps.csv
