address,sale_price,building_size,price_per_sf,closing_date,year_built,cap_rate,buyer,seller,raw_address_data,source_type,source_file
615 S Wisteria St,"$3,217,500.00 ","19,500",$165.00 ,1/14/2025,Mansfield,,52nd Ave IOS,52nd Ave IOS,615 S Wisteria St Mansfield No,SALE,Additional Comps - HC.xlsx - Sales (1).csv
501 S Wisteria St,"$2,418,450.00 ","16,123",$150.00 ,1/6/2025,Mansfield,,Ameritech,Ameritech,501 S Wisteria St Mansfield No,SALE,Additional Comps - HC.xlsx - Sales (1).csv
911 S 5th Ave,"$9,004,355.00 ","62,099",$145.00 ,11/15/2024,Mansfield,,Safety Test,Safety Test,911 S 5th Ave Mansfield Yes,SALE,Additional Comps - HC.xlsx - Sales (1).csv
101 Industrial Blvd,"$1,775,000.00 ","10,000",$177.50 ,10/3/2024,Mansfield,,Comfort Tech,Comfort Tech,101 Industrial Blvd Mansfield No,SALE,Additional Comps - HC.xlsx - Sales (1).csv
220 Airport Dr,"$7,105,000.00 ","49,000",$145.00 ,1/1/2024,Mansfield,,Alan Cohen,Alan Cohen,220 Airport Dr Mansfield Yes,SALE,Additional Comps - HC.xlsx - Sales (1).csv
3101-3109 E Ave E,"$3,500,000.00 ","25,200",$138.89 ,4/1/2025,Arlington,,Aspen Oak,Aspen Oak,3101-3109 E Ave E Arlington,SALE,Additional Comps - HC.xlsx - Sales (1).csv
